local_date,target_max_temp,temperature_2m_min,temperature_2m_max,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_mean,wind_speed_10m_max,precipitation_sum,cloud_cover_mean
2024-07-12,28.0,12.9,27.9,20.9375,61.0,1.9741666666666668,3.41,0.0,1.7083333333333333
2024-07-13,31.0,15.1,29.9,23.2375,54.875,2.0108333333333333,4.1,0.0,1.9583333333333333
2024-07-14,28.0,16.6,28.3,22.3,59.5,2.0704166666666666,3.26,0.0,0.4583333333333333
2024-07-15,26.0,13.8,25.7,18.666666666666668,72.5,1.8441666666666665,2.5,0.0,44.0
2024-07-16,31.0,15.2,30.4,22.916666666666668,60.583333333333336,2.084166666666667,3.32,0.0,1.0416666666666667
2024-07-17,28.0,17.6,27.0,22.141666666666666,66.54166666666667,2.1425,3.3,0.0,50.083333333333336
2024-07-18,28.0,14.5,27.8,20.325,69.25,2.5058333333333334,3.61,0.0,12.666666666666666
2024-07-19,29.0,14.4,28.5,20.825,65.375,2.19875,3.02,0.0,17.416666666666668
2024-07-20,31.0,16.0,29.9,22.849999999999998,54.5,2.361666666666667,3.91,0.0,0.375
2024-07-21,25.0,15.8,25.2,20.283333333333335,68.45833333333333,2.02,3.82,0.0,29.625
2024-07-22,20.0,14.2,19.1,16.608333333333334,79.54166666666667,1.7979166666666666,4.1,0.0,73.5
2024-07-23,24.0,14.0,23.7,18.55,58.791666666666664,2.5470833333333336,3.48,0.0,44.791666666666664
2024-07-24,24.0,11.9,24.1,18.0625,62.708333333333336,2.22625,4.38,0.0,26.75
2024-07-25,23.0,14.1,22.5,17.7625,61.708333333333336,1.9445833333333333,2.97,0.0,58.916666666666664
2024-07-26,25.0,11.6,24.4,18.2,61.541666666666664,2.5604166666666663,4.0,0.0,4.5
2024-07-27,26.0,13.5,25.0,19.2375,60.666666666666664,1.8958333333333333,3.1,0.0,19.541666666666668
2024-07-28,20.0,13.7,20.3,16.770833333333332,75.625,2.61625,4.03,0.0,66.16666666666667
